ID,NM_DISTRITO,LONG,LAT,ID_ADJS
370,BOA VISTA DO RAMOS,-57.5877073464737,-2.97172653158936,[]
374,BOCA DO ACRE,-67.3995777566805,-8.75124319609379,[]
378,BORBA,-59.5945590194969,-4.39061989147273,[]
405,CAAPIRANGA,-61.2113341331817,-3.3300933919416,[]
408,CANUTAMA,-64.3942308189288,-6.52910607582614,[]
411,CARAUARI,-66.8966352816837,-4.88166590420413,[]
414,CAREIRO,-60.3638098437089,-3.82244727004599,[]
423,CAREIRO DA VÁRZEA,-59.8263140608339,-3.1973965948696,[]
429,COARI,-63.1421839840562,-4.08421915877588,[]
434,CODAJÁS,-62.0634296604883,-3.84304593273892,[]
437,EIRUNEPÉ,-69.8662902624416,-6.66735256685182,[]
521,ITAPIRANGA,-58.0345458839662,-2.74184275232884,[]
522,JAPURÁ,-66.9969034946413,-1.880844858703,[]
530,JURUÁ,-66.0630419255434,-3.47488959889068,[]
539,JUTAÍ,-66.7713275466878,-2.74464644685786,[]
554,LÁBREA,-64.79477302752,-7.26194655332705,[]
580,MANACAPURU,-60.6205894458706,-3.29827803546755,[]
590,MANAQUIRI,-60.4588813063745,-3.42907966935262,[]
599,MANAUS,-60.023335181061,-3.13469149120195,[]
600,MANICORÉ,-61.2992484088508,-5.81320526118813,[]
619,MARAÃ,-65.5742837031641,-1.86643687730125,[]
627,MAUÉS,-57.7150343867525,-3.38642792621106,[]
674,NHAMUNDÁ,-56.7167699133376,-2.1889837668969,[]
682,NOVA OLINDA DO NORTE,-59.0930740260433,-3.88759283191138,[]
684,NOVO AIRÃO,-60.948810707829,-2.62343245902763,[]
685,NOVO ARIPUANÃ,-60.3770456690009,-5.12266931419617,[]
686,PARINTINS,-56.7362921451951,-2.62705258583723,[]
700,PAUINI,-67.0020974885282,-7.71404364432219,[]
702,PRESIDENTE FIGUEIREDO,-60.0256468344675,-2.058429085233,[]
719,RIO PRETO DA EVA,-59.704738094199,-2.6933015416451,[]
720,SANTA ISABEL DO RIO NEGRO,-65.020022639512,-0.416694831881864,[]
730,SANTO ANTÔNIO DO IÇÁ,-67.9464851438841,-3.10748630918151,[]
745,SÃO GABRIEL DA CACHOEIRA,-67.0836428963463,-0.136462788116522,[]
769,SÃO PAULO DE OLIVENÇA,-68.9448534881358,-3.46650962349132,[]
796,SÃO SEBASTIÃO DO UATUMÃ,-57.8703463558346,-2.57015257967785,[]
798,SILVES,-58.2148008608269,-2.83642742966584,[]
800,TABATINGA,-69.9462443752272,-4.23188367564665,[]
1069,ALMEIRIM,-52.5768350868127,-1.52733880276478,[]
1079,ALTAMIRA,-52.2143763052078,-3.20565951,[]
1095,ANAJÁS,-49.945001040544,-0.984451394008702,[]
1096,ANANINDEUA,-48.372066654168,-1.36871356826946,[]
1097,ANAPU,-51.2016217984581,-3.47610463506868,[]
1104,AUGUSTO CORRÊA,-46.6416457856711,-1.02292101,[]
1114,AURORA DO PARÁ,-47.5561746036128,-2.12937601319444,[]
1120,AVEIRO,-55.3307343898178,-3.60559525928393,[]
1126,BAGRE,-50.2219869206135,-1.88980806036172,[]
1127,BAIÃO,-49.6727533733253,-2.79196186136136,[]
840,TAPAUÁ,-63.1870948671802,-5.62422351778794,[]
855,TEFÉ,-64.7084196633027,-3.34837249394151,[]
865,TONANTINS,-67.7764822806952,-2.86109124983543,[]
883,UARINI,-65.1553456401554,-2.9836092426921,[]
887,URUCARÁ,-57.7598281745956,-2.53661167184038,[]
893,URUCURITUBA,-58.1596410413098,-3.1346331156473,[]
896,AMAJARI,-61.4205901726631,3.6521184454459,[]
916,ALTO ALEGRE,-61.3140223901178,2.99382294765484,[]
927,BOA VISTA,-60.6705326729651,2.81668191910439,[]
936,BONFIM,-59.8780066289099,3.35028861911032,[]
947,CANTÁ,-60.6020628476112,2.60766639841651,[]
960,CARACARAÍ,-61.14917687013,1.80387124729759,[]
964,CAROEBE,-59.6948100736757,0.872674507186562,[]
967,IRACEMA,-61.0522585850197,2.16821476520387,[]
969,MUCAJAÍ,-60.9115185306216,2.47977223505342,[]
971,NORMANDIA,-59.6352062835683,3.88297828530181,[]
989,PACARAIMA,-61.1473063471493,4.47525934021226,[]
1007,RORAINÓPOLIS,-60.4250604939819,0.937195393597556,[]
1013,SÃO JOÃO DA BALIZA,-59.9060443451544,0.947157427466681,[]
1015,SÃO LUIZ,-60.0282667741903,1.01811162739126,[]
1017,UIRAMUTÃ,-60.195716148042,4.58544038754255,[]
1051,ABAETETUBA,-48.8844038207231,-1.72346986284591,[]
1053,ABEL FIGUEIREDO,-48.3967621257945,-4.9513908955313,[]
1054,ACARÁ,-48.2004564317501,-1.9634365,[]
1059,AFUÁ,-50.3914275892332,-0.159171693779797,[]
1061,ÁGUA AZUL DO NORTE,-50.4852745072531,-6.80494886740538,[]
